sample_id	patient_id	sample_date	sample_type	VSP	collected _from	extraction_technique	qpcr_date	RNA_vol_uL	N1_copies_per_ul	N2_copies_per_ul	avg_copy-uL	POLAR_Seq_date	MiseqID	% Coverage to SARS-CoV-2 Genome	MESSI Co-Enrollment (blood)	RTPCR_date	bands	Comments
SRR11783576	deWit_RM12_Vehicle	06/06/2020	Nose_swab	VSP8000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783579	deWit_RM11_Vehicle	06/03/2020	Rectal_swab	VSP8001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783591	deWit_RM2_Remdesivir	06/04/2020	BAL	VSP8002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783603	deWit_RM7_Vehicle	06/06/2020	Nose_swab	VSP8003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783612	deWit_RM5_Remdesivir	06/06/2020	Nose_swab	VSP8004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783618	deWit_RM4_Remdesivir	06/06/2020	Nose_swab	VSP8005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783575	deWit_RM12_Vehicle	06/08/2020	RLLL	VSP8006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783594	deWit_RM9_Vehicle	06/04/2020	BAL	VSP8007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783606	deWit_RM6_Remdesivir	06/03/2020	Rectal_swab	VSP8008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783610	deWit_RM6_Remdesivir	06/04/2020	BAL	VSP8009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783619	deWit_RM4_Remdesivir	06/08/2020	LLLL	VSP8010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783622	deWit_RM3_Remdesivir	06/08/2020	RLLL	VSP8011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783582	deWit_RM11_Vehicle	06/06/2020	Nose_swab	VSP8012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783573	deWit_RM2_Remdesivir	06/06/2020	Nose_swab	VSP8013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783592	deWit_RM9_Vehicle	06/06/2020	Nose_swab	VSP8014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783600	deWit_RM7_Vehicle	06/03/2020	Rectal_swab	VSP8015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783602	deWit_RM1_Remdesivir	06/08/2020	RLLL	VSP8016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783604	deWit_RM7_Vehicle	06/08/2020	LLLL	VSP8017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783607	deWit_RM6_Remdesivir	06/08/2020	RLLL	VSP8018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783611	deWit_RM5_Remdesivir	06/08/2020	RLLL	VSP8019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783614	deWit_RM5_Remdesivir	06/08/2020	LLLL	VSP8020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783615	deWit_RM5_Remdesivir	06/04/2020	BAL	VSP8021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783624	deWit_RM1_Remdesivir	06/08/2020	LLLL	VSP8022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783625	deWit_RM1_Remdesivir	06/04/2020	BAL	VSP8023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783571	deWit_RM3_Remdesivir	06/04/2020	BAL	VSP8024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783572	deWit_RM2_Remdesivir	06/08/2020	RLLL	VSP8025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783580	deWit_RM2_Remdesivir	06/08/2020	LLLL	VSP8026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783581	deWit_RM11_Vehicle	06/08/2020	RLLL	VSP8027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783584	deWit_RM11_Vehicle	06/04/2020	BAL	VSP8028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783595	deWit_RM8_Vehicle	06/03/2020	Rectal_swab	VSP8029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783621	deWit_RM3_Remdesivir	06/03/2020	Rectal_swab	VSP8030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783623	deWit_RM3_Remdesivir	06/06/2020	Nose_swab	VSP8031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783593	deWit_RM9_Vehicle	06/08/2020	LLLL	VSP8032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783596	deWit_RM8_Vehicle	06/08/2020	RLLL	VSP8033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783598	deWit_RM8_Vehicle	06/08/2020	LLLL	VSP8034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783601	deWit_RM7_Vehicle	06/08/2020	RLLL	VSP8035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783605	deWit_RM7_Vehicle	06/04/2020	BAL	VSP8036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783608	deWit_RM6_Remdesivir	06/06/2020	Nose_swab	VSP8037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783609	deWit_RM6_Remdesivir	06/08/2020	LLLL	VSP8038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783578	deWit_RM12_Vehicle	06/04/2020	BAL	VSP8039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783589	deWit_RM10_Vehicle	06/04/2020	BAL	VSP8040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783599	deWit_RM8_Vehicle	06/04/2020	BAL	VSP8041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783613	deWit_RM1_Remdesivir	06/06/2020	Nose_swab	VSP8042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783616	deWit_RM4_Remdesivir	06/03/2020	Rectal_swab	VSP8043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783617	deWit_RM4_Remdesivir	06/08/2020	RLLL	VSP8044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783620	deWit_RM4_Remdesivir	06/04/2020	BAL	VSP8045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR11783590	deWit_RM9_Vehicle	06/08/2020	RLLL	VSP8046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
